recording_file,sample_mid,is_positive,gt_length_cm,pred_length_cm,gt_weight_g,pred_weight_g,presence_prob,pred_present
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,559,0,0.0,30.85,0.0,566.0,0.9665,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4757,0,0.0,21.38,0.0,156.8,0.5598,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9589,1,26.0,26.54,390.0,382.1,0.9488,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,1309,0,0.0,33.56,0.0,706.9,0.8927,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7840,0,0.0,20.63,0.0,135.0,0.8815,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,6950,1,31.0,30.92,630.0,581.2,0.9812,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,376,0,0.0,21.67,0.0,137.3,0.5372,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10927,0,0.0,20.87,0.0,145.8,0.7296,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9285,1,31.0,30.74,620.0,619.3,0.9797,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,9939,1,31.0,30.56,620.0,600.5,0.9731,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,486,1,30.0,29.57,580.0,537.0,0.978,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,11019,0,0.0,20.99,0.0,132.4,0.7938,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,4633,1,30.0,30.36,580.0,571.5,0.9759,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11051,1,31.0,31.63,620.0,616.2,0.6245,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5315,1,30.0,29.65,500.0,485.3,0.9536,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,10974,1,30.0,29.0,556.0,548.0,0.9601,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,166,1,30.0,30.04,580.0,556.6,0.9773,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3283,1,30.0,29.66,580.0,554.8,0.9751,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2487,1,23.0,22.81,310.0,299.4,0.9553,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,838,1,21.0,20.97,150.0,144.5,0.8949,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,8415,1,31.0,32.74,630.0,649.1,0.9802,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,3671,1,30.0,28.88,500.0,500.8,0.9776,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,7935,1,31.0,32.81,630.0,649.4,0.9816,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9660,1,30.0,28.37,580.0,558.8,0.9697,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7228,1,23.0,22.59,310.0,299.8,0.9742,1
