recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11475,11456,11494,2025-10-28 11:42:47.827,2025-10-28 11:42:47.364,2025-10-28 11:42:48.307,0.5116,23.59,322.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11683,11664,11702,2025-10-28 11:42:53.070,2025-10-28 11:42:52.562,2025-10-28 11:42:53.522,0.9671,27.33,282.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11959,11940,11978,2025-10-28 11:42:59.952,2025-10-28 11:42:59.472,2025-10-28 11:43:00.417,0.9758,23.63,328.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,387,368,406,2025-10-28 11:48:14.744,2025-10-28 11:48:14.281,2025-10-28 11:48:15.236,0.9196,27.38,489.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,407,388,426,2025-10-28 11:48:15.249,2025-10-28 11:48:14.769,2025-10-28 11:48:15.711,0.9744,27.01,492.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,431,412,450,2025-10-28 11:48:15.838,2025-10-28 11:48:15.361,2025-10-28 11:48:16.319,0.9443,24.52,431.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,467,448,486,2025-10-28 11:48:16.737,2025-10-28 11:48:16.274,2025-10-28 11:48:17.219,0.901,28.68,435.0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,487,468,506,2025-10-28 11:48:17.267,2025-10-28 11:48:16.768,2025-10-28 11:48:17.711,0.9401,26.02,434.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,507,488,526,2025-10-28 11:48:17.748,2025-10-28 11:48:17.267,2025-10-28 11:48:18.236,0.9682,27.22,463.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,527,508,546,2025-10-28 11:48:18.236,2025-10-28 11:48:17.775,2025-10-28 11:48:18.749,0.9256,25.77,387.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,577,558,596,2025-10-28 11:48:19.503,2025-10-28 11:48:19.023,2025-10-28 11:48:19.967,0.7023,25.54,396.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,615,596,634,2025-10-28 11:48:20.446,2025-10-28 11:48:19.967,2025-10-28 11:48:20.926,0.871,26.03,405.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,647,628,666,2025-10-28 11:48:21.254,2025-10-28 11:48:20.771,2025-10-28 11:48:21.742,0.6129,27.34,446.4
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,667,648,686,2025-10-28 11:48:21.742,2025-10-28 11:48:21.277,2025-10-28 11:48:22.225,0.9403,29.69,519.8
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,687,668,706,2025-10-28 11:48:22.250,2025-10-28 11:48:21.773,2025-10-28 11:48:22.749,0.9898,32.61,623.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,827,808,846,2025-10-28 11:48:25.758,2025-10-28 11:48:25.291,2025-10-28 11:48:26.229,0.9491,28.89,509.8
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1073,1054,1092,2025-10-28 11:48:31.916,2025-10-28 11:48:31.435,2025-10-28 11:48:32.376,0.9513,26.99,455.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1155,1136,1174,2025-10-28 11:48:33.962,2025-10-28 11:48:33.483,2025-10-28 11:48:34.442,0.9402,29.04,414.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1241,1222,1260,2025-10-28 11:48:36.107,2025-10-28 11:48:35.643,2025-10-28 11:48:36.586,0.8837,27.77,504.1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1481,1462,1500,2025-10-28 11:48:42.120,2025-10-28 11:48:41.641,2025-10-28 11:48:42.601,0.9512,27.36,400.8
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1563,1544,1582,2025-10-28 11:48:44.167,2025-10-28 11:48:43.703,2025-10-28 11:48:44.649,0.9253,30.58,488.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1675,1656,1694,2025-10-28 11:48:46.983,2025-10-28 11:48:46.503,2025-10-28 11:48:47.447,0.8245,29.35,447.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1965,1946,1984,2025-10-28 11:48:54.235,2025-10-28 11:48:53.766,2025-10-28 11:48:54.709,0.9673,28.71,438.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2047,2028,2066,2025-10-28 11:48:56.296,2025-10-28 11:48:55.822,2025-10-28 11:48:56.770,0.8872,28.96,424.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2173,2154,2192,2025-10-28 11:48:59.445,2025-10-28 11:48:58.964,2025-10-28 11:48:59.925,0.7686,28.44,413.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2281,2262,2300,2025-10-28 11:49:02.147,2025-10-28 11:49:01.668,2025-10-28 11:49:02.628,0.6401,27.8,459.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2381,2362,2400,2025-10-28 11:49:04.644,2025-10-28 11:49:04.180,2025-10-28 11:49:05.123,0.8619,32.36,555.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2501,2482,2520,2025-10-28 11:49:07.651,2025-10-28 11:49:07.171,2025-10-28 11:49:08.131,0.9684,25.73,400.9
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2639,2620,2658,2025-10-28 11:49:11.106,2025-10-28 11:49:10.625,2025-10-28 11:49:11.585,0.6029,26.8,443.4
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2659,2640,2678,2025-10-28 11:49:11.602,2025-10-28 11:49:11.121,2025-10-28 11:49:12.081,0.9257,28.33,414.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2697,2678,2716,2025-10-28 11:49:12.561,2025-10-28 11:49:12.081,2025-10-28 11:49:13.026,0.658,24.45,438.0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2839,2820,2858,2025-10-28 11:49:16.112,2025-10-28 11:49:15.632,2025-10-28 11:49:16.592,0.7118,26.54,270.1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2957,2938,2976,2025-10-28 11:49:19.055,2025-10-28 11:49:18.591,2025-10-28 11:49:19.535,0.8975,30.88,513.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3027,3008,3046,2025-10-28 11:49:20.822,2025-10-28 11:49:20.344,2025-10-28 11:49:21.301,0.9574,30.12,457.1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3151,3132,3170,2025-10-28 11:49:23.917,2025-10-28 11:49:23.439,2025-10-28 11:49:24.395,0.9524,28.31,460.5
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3263,3244,3282,2025-10-28 11:49:26.717,2025-10-28 11:49:26.263,2025-10-28 11:49:27.198,0.6367,28.63,437.9
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3411,3392,3430,2025-10-28 11:49:30.428,2025-10-28 11:49:29.948,2025-10-28 11:49:30.908,0.9587,29.43,538.2
