2026-06-14 15:36:58 | INFO     | Run ID  : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device  : cpu
2026-06-14 15:36:58 | INFO     | Target  : weight (g)
2026-06-14 15:36:58 | INFO     | Train samples: 497 | Val samples: 269
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 600 epochs
2026-06-14 15:37:19 | INFO     | Epoch 109/600 | train_loss=1415.8295 | val_loss=3950.7093 | val_mae=99.51g | val_mape=21.21% | val_f1=1.000
2026-06-14 15:37:19 | INFO     | Epoch 110/600 | train_loss=1406.8858 | val_loss=3418.4316 | val_mae=89.93g | val_mape=23.42% | val_f1=1.000
2026-06-14 15:37:19 | INFO     | Epoch 111/600 | train_loss=1494.3015 | val_loss=3384.6852 | val_mae=88.33g | val_mape=20.25% | val_f1=1.000
2026-06-14 15:37:19 | INFO     | Epoch 112/600 | train_loss=1343.5471 | val_loss=3289.5426 | val_mae=86.77g | val_mape=22.37% | val_f1=1.000
2026-06-14 15:37:19 | INFO     | Epoch 113/600 | train_loss=1573.5196 | val_loss=2975.6040 | val_mae=80.50g | val_mape=22.28% | val_f1=1.000
2026-06-14 15:37:19 | INFO     | Epoch 114/600 | train_loss=1420.6901 | val_loss=3434.6447 | val_mae=89.07g | val_mape=20.91% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 115/600 | train_loss=1539.9852 | val_loss=3015.0434 | val_mae=80.75g | val_mape=21.74% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 116/600 | train_loss=1460.5368 | val_loss=3207.1402 | val_mae=84.59g | val_mape=20.38% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 117/600 | train_loss=1248.8366 | val_loss=3624.3052 | val_mae=93.56g | val_mape=22.90% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 118/600 | train_loss=1583.5588 | val_loss=3101.1222 | val_mae=82.52g | val_mape=20.16% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 119/600 | train_loss=1267.4711 | val_loss=3145.4043 | val_mae=83.01g | val_mape=19.55% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 120/600 | train_loss=1642.9441 | val_loss=3058.2193 | val_mae=81.48g | val_mape=20.72% | val_f1=1.000
2026-06-14 15:37:20 | INFO     | Epoch 121/600 | train_loss=1397.1537 | val_loss=3176.5139 | val_mae=83.57g | val_mape=20.58% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 122/600 | train_loss=1466.1283 | val_loss=3104.7803 | val_mae=82.13g | val_mape=21.16% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 123/600 | train_loss=1530.5555 | val_loss=3264.1164 | val_mae=85.78g | val_mape=22.06% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 124/600 | train_loss=1327.6883 | val_loss=3265.7479 | val_mae=85.53g | val_mape=21.49% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 125/600 | train_loss=1408.2136 | val_loss=3230.6540 | val_mae=84.98g | val_mape=23.14% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 126/600 | train_loss=1209.1980 | val_loss=3115.1909 | val_mae=83.25g | val_mape=22.38% | val_f1=1.000
2026-06-14 15:37:21 | INFO     | Epoch 127/600 | train_loss=1530.8819 | val_loss=3296.2482 | val_mae=85.84g | val_mape=19.59% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 128/600 | train_loss=1556.5563 | val_loss=3345.2873 | val_mae=87.45g | val_mape=21.61% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 129/600 | train_loss=1286.2600 | val_loss=3059.9424 | val_mae=81.66g | val_mape=22.19% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 130/600 | train_loss=1380.2924 | val_loss=3422.4508 | val_mae=88.70g | val_mape=20.72% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 131/600 | train_loss=1405.1963 | val_loss=3311.3627 | val_mae=86.36g | val_mape=20.69% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 132/600 | train_loss=1323.6359 | val_loss=3327.6791 | val_mae=86.07g | val_mape=20.08% | val_f1=1.000
2026-06-14 15:37:22 | INFO     | Epoch 133/600 | train_loss=1305.1585 | val_loss=3169.7037 | val_mae=84.57g | val_mape=24.12% | val_f1=1.000
